"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","sulcal_depth_mm"
"1","c01","lh","mcgs_db",0,177,118,276,2.39,0.577,0.077,0.008,1,0.1,0.163984447717667,0.846948206424713,0.0873180776834488,0.477900624275208,12.4175038110307
"2","c01","lh","mcgs_mb",0,1154,789,1395,2.012,0.563,0.077,0.011,3,0.5,0.670225203037262,1.47254884243011,0.356880009174347,0.40237957239151,16.1934956481703
"3","c01","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","c01","rh","mcgs_db",0,682,474,817,1.876,0.63,0.091,0.012,3,0.4,0.713159382343292,1.40365815162659,0.377541601657867,0.375104755163193,14.6040059647755
"5","c01","rh","mcgs_mb",0,974,674,1255,2.12,0.559,0.078,0.012,3,0.4,0.545000970363617,1.48026704788208,0.288519710302353,0.424022078514099,13.8234520454551
"6","c01","rh","mcgs_sb",0,117,80,244,3.065,1.297,0.065,0.021,0,0,0.148919209837914,0.530152201652527,0.0788367986679077,0.613016366958618,6.69527454212868
"7","c02","lh","mcgs_db",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","c02","lh","mcgs_mb",0,1218,813,1308,1.837,0.581,0.07,0.009,3,0.4,0.534616708755493,1.29244923591614,0.261904150247574,0.367451995611191,15.2015769049324
"9","c02","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","c02","rh","mcgs_db",0,228,159,244,1.447,0.37,0.088,0.011,1,0.1,-0.121192961931229,0.545576632022858,-0.0638342499732971,0.289456754922867,10.179791928203
"11","c02","rh","mcgs_mb",0,886,599,1034,1.93,0.75,0.078,0.012,3,0.4,0.550559043884277,1.26631045341492,0.289988160133362,0.386042505502701,12.9758530717741
"12","c02","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","c03","lh","mcgs_db",0,576,374,683,1.763,0.642,0.083,0.008,3,0.2,0.374367862939835,1.11573374271393,0.189396515488625,0.352514564990997,12.8932926127514
"14","c03","lh","mcgs_mb",0,960,652,1132,1.883,0.572,0.076,0.012,3,0.4,0.680720031261444,1.4823625087738,0.344383180141449,0.376684188842773,17.2903348544258
"15","c03","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","c03","rh","mcgs_db",0,219,143,317,2.375,0.378,0.059,0.006,0,0.1,-0.0479997619986534,0.528793394565582,-0.0243126377463341,0.475052446126938,13.4157881524852
"17","c03","rh","mcgs_mb",0,1267,848,1664,2.118,0.671,0.07,0.009,3,0.5,0.79623419046402,1.53840696811676,0.403305172920227,0.423663854598999,17.0278731039044
"18","c03","rh","mcgs_sb",0,35,24,76,3.189,0.368,0.039,0.007,0,0,0.29701954126358,0.600763142108917,0.150445073843002,0.637881517410278,10.8058488812333
"19","c04","lh","mcgs_db",0,192,138,251,1.801,0.428,0.082,0.009,1,0.1,0.10791590064764,0.724784731864929,0.0581290535628796,0.360218733549118,12.1158007706169
"20","c04","lh","mcgs_mb",0,885,595,1008,1.768,0.672,0.072,0.008,3,0.2,0.604827225208282,1.41242337226868,0.325791120529175,0.353523761034012,17.8818730220984
"21","c04","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","c04","rh","mcgs_db",0,644,436,778,1.871,0.538,0.068,0.007,2,0.2,0.394113719463348,1.26218581199646,0.157915785908699,0.374269843101501,15.6596510822773
"23","c04","rh","mcgs_mb",0,716,508,1239,2.757,0.473,0.076,0.009,2,0.2,0.468762457370758,1.40720188617706,0.187826484441757,0.551429390907288,14.9788438787207
"24","c04","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","c05","lh","mcgs_db",0,296,202,328,1.629,0.432,0.081,0.009,1,0.1,0.57328736782074,1.35284924507141,0.284079730510712,0.325834780931473,17.1507922183323
"26","c05","lh","mcgs_mb",0,1224,805,1379,1.878,0.514,0.065,0.007,3,0.3,0.757854342460632,1.58510231971741,0.375537753105164,0.375515758991241,19.8987618414113
"27","c05","lh","mcgs_sb",0,275,187,446,2.331,0.78,0.075,0.012,1,0.1,0.269013613462448,0.809731900691986,0.133303672075272,0.466218382120132,12.3499786737943
"28","c05","rh","mcgs_db",0,210,142,231,1.649,0.248,0.065,0.006,0,0.1,0.493398874998093,1.29626870155334,0.239498749375343,0.329880654811859,16.2461388193038
"29","c05","rh","mcgs_mb",0,751,497,865,1.907,0.683,0.074,0.01,2,0.3,0.607257962226868,1.53336775302887,0.294766634702682,0.38147833943367,19.8659591962363
"30","c05","rh","mcgs_sb",0,409,292,625,2.373,0.628,0.091,0.014,2,0.2,-0.0154243968427181,0.843750476837158,-0.00748710334300995,0.474594205617905,9.9322519970958
"31","c06","lh","mcgs_db",0,187,133,162,1.353,0.426,0.076,0.009,0,0.1,-0.00193558144383132,0.816492974758148,-0.00103129423223436,0.27067893743515,10.4477544899072
