"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","pres_abs","sulcal_depth_mm"
"1","c01","lh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"2","c01","lh","ifrms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"3","c01","lh","isms",0,59,50,172,3.338,0.819,0.081,0.014,0,0,-0.138830229640007,0.180631324648857,-0.0739240124821663,0.667606294155121,"present",9.3024250181434
"4","c01","lh","mcgs",0,1331,907,1671,2.062,0.579,0.077,0.01,4,0.5,0.60290390253067,1.47254884243011,0.3210329413414,0.412422567605972,"present",16.1934956481703
"5","c01","lh","pos",0,953,658,1068,1.895,0.466,0.084,0.014,3,0.6,0.536461055278778,1.42242908477783,0.285653561353683,0.378938794136047,"present",14.7430321558615
"6","c01","lh","prculs_d",0,704,477,676,1.659,0.576,0.077,0.011,2,0.3,0.409433543682098,1.408118724823,0.218014284968376,0.331783562898636,"present",15.209064104622
"7","c01","lh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"8","c01","lh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"9","c01","lh","prcus_i",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"10","c01","lh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"11","c01","lh","spls",0,252,174,602,3.839,0.625,0.09,0.013,1,0.2,-0.0523840747773647,0.145626917481422,-0.0278933551162481,0.767820179462433,"present",2.91450040991033
