,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,c01,lh,POS,953.0,658.0,1068.0,1.895,0.466,0.084,0.014,3.0,0.6,0.5364610552787781,1.422429084777832,0.28565356135368347,0.37893879413604736
0,c01,lh,prculs,704.0,477.0,676.0,1.659,0.576,0.077,0.011,2.0,0.3,0.4094335436820984,1.408118724822998,0.21801428496837616,0.33178356289863586
0,c01,lh,prcus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,lh,prcus2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,lh,prcus3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,lh,MCGS,1331.0,907.0,1671.0,2.062,0.579,0.077,0.01,4.0,0.5,0.6029039025306702,1.4725488424301147,0.32103294134140015,0.4124225676059723
0,c01,lh,sbps,252.0,174.0,602.0,3.839,0.625,0.09,0.013,1.0,0.2,-0.05238407477736473,0.14562691748142242,-0.02789335511624813,0.7678201794624329
0,c01,lh,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,lh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,lh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,lh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,lh,isms,59.0,50.0,172.0,3.338,0.819,0.081,0.014,0.0,0.0,-0.13883022964000702,0.18063132464885712,-0.07392401248216629,0.6676062941551208
0,c01,lh,w,142.0,101.0,258.0,2.599,0.48,0.052,0.007,0.0,0.0,0.22645676136016846,0.5615397691726685,0.1205831989645958,0.519891619682312
0,c01,rh,POS,1471.0,1002.0,1709.0,1.914,0.649,0.086,0.017,6.0,0.9,0.5606933236122131,1.401605486869812,0.29682716727256775,0.38287702202796936
0,c01,rh,prculs,438.0,309.0,629.0,2.157,0.427,0.081,0.011,1.0,0.2,0.048224400728940964,0.9772516489028931,0.025529660284519196,0.43148964643478394
0,c01,rh,prcus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,prcus2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,prcus3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,MCGS,1774.0,1229.0,2317.0,2.088,0.718,0.082,0.013,7.0,0.7,0.583293080329895,1.48026704788208,0.30879130959510803,0.41761863231658936
0,c01,rh,sbps,244.0,184.0,648.0,3.652,0.551,0.072,0.01,1.0,0.1,-0.05122747644782066,0.14686241745948792,-0.02711947076022625,0.7303856015205383
0,c01,rh,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,x,54.0,45.0,152.0,3.165,0.226,0.061,0.006,0.0,0.0,-0.2652779817581177,-0.15736109018325806,-0.1404363214969635,0.6330852508544922
0,c01,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,w,189.0,124.0,333.0,2.782,0.646,0.063,0.01,0.0,0.1,0.5424679517745972,0.8558664321899414,0.28717875480651855,0.5563796758651733
0,c02,lh,POS,724.0,498.0,711.0,1.738,0.671,0.083,0.01,4.0,0.3,0.39028415083885193,1.1294398307800293,0.19119685888290405,0.34761908650398254
0,c02,lh,prculs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,prcus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,prcus2,329.0,235.0,346.0,1.491,0.623,0.098,0.012,2.0,0.1,-0.06407193839550018,0.5497341156005859,-0.0313882902264595,0.29827746748924255
0,c02,lh,prcus3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,MCGS,1218.0,813.0,1308.0,1.837,0.581,0.07,0.009,3.0,0.4,0.5346167087554932,1.2924492359161377,0.26190415024757385,0.3674519956111908
0,c02,lh,sbps,309.0,205.0,531.0,2.814,1.03,0.089,0.016,1.0,0.2,0.3119833767414093,0.7213922142982483,0.15283796191215515,0.5628629326820374
0,c02,lh,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,isms,48.0,37.0,189.0,4.406,0.624,0.1,0.021,0.0,0.0,-0.24900072813034058,-0.06876488029956818,-0.12198332697153091,0.8811764121055603
0,c02,lh,w,180.0,117.0,268.0,2.379,0.362,0.042,0.005,0.0,0.0,0.4856241047382355,0.7636112570762634,0.23790308833122253,0.4757820963859558
0,c02,rh,POS,1000.0,680.0,1296.0,2.135,0.906,0.091,0.015,4.0,0.6,0.49706894159317017,1.6245137453079224,0.2618141174316406,0.42695897817611694
0,c02,rh,prculs,789.0,533.0,702.0,1.411,0.407,0.071,0.007,2.0,0.2,0.3981478214263916,1.419531226158142,0.20971077680587769,0.2821577787399292
0,c02,rh,prcus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,rh,prcus2,130.0,98.0,298.0,3.083,1.178,0.107,0.012,1.0,0.1,-0.09283886849880219,0.17413567006587982,-0.04889970272779465,0.6165761351585388
0,c02,rh,prcus3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,rh,MCGS,1114.0,758.0,1279.0,1.831,0.717,0.08,0.011,4.0,0.5,0.41307300329208374,1.266310453414917,0.21757209300994873,0.36627450585365295
0,c02,rh,sbps,249.0,162.0,400.0,2.261,0.716,0.079,0.012,1.0,0.1,0.0742749273777008,0.3401601016521454,0.039121780544519424,0.45225057005882263
0,c02,rh,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,rh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,rh,x,84.0,63.0,220.0,3.182,0.401,0.062,0.007,0.0,0.0,-0.3373895287513733,-0.20278093218803406,-0.17770840227603912,0.6363030672073364
