,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,c01,lh,MCGS3,1154.0,789.0,1395.0,2.012,0.563,0.077,0.011,3.0,0.5,0.670225203037262,1.4725488424301147,0.3568800091743469,0.40237957239151
0,c01,lh,MCGS2,177.0,118.0,276.0,2.39,0.577,0.077,0.008,1.0,0.1,0.16398444771766663,0.8469482064247131,0.08731807768344879,0.4779006242752075
0,c01,lh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c01,rh,MCGS3,974.0,674.0,1255.0,2.12,0.559,0.078,0.012,3.0,0.4,0.5450009703636169,1.48026704788208,0.2885197103023529,0.4240220785140991
0,c01,rh,MCGS2,682.0,474.0,817.0,1.876,0.63,0.091,0.012,3.0,0.4,0.7131593823432922,1.403658151626587,0.37754160165786743,0.37510475516319275
0,c01,rh,MCGS1,117.0,80.0,244.0,3.065,1.297,0.065,0.021,0.0,0.0,0.1489192098379135,0.5301522016525269,0.07883679866790771,0.6130163669586182
0,c02,lh,MCGS3,1218.0,813.0,1308.0,1.837,0.581,0.07,0.009,3.0,0.4,0.5346167087554932,1.2924492359161377,0.26190415024757385,0.3674519956111908
0,c02,lh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,lh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c02,rh,MCGS3,886.0,599.0,1034.0,1.93,0.75,0.078,0.012,3.0,0.4,0.5505590438842773,1.266310453414917,0.2899881601333618,0.3860425055027008
0,c02,rh,MCGS2,228.0,159.0,244.0,1.447,0.37,0.088,0.011,1.0,0.1,-0.12119296193122864,0.5455766320228577,-0.06383424997329712,0.2894567549228668
0,c02,rh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c03,lh,MCGS3,960.0,652.0,1132.0,1.883,0.572,0.076,0.012,3.0,0.4,0.6807200312614441,1.4823625087738037,0.344383180141449,0.37668418884277344
0,c03,lh,MCGS2,576.0,374.0,683.0,1.763,0.642,0.083,0.008,3.0,0.2,0.3743678629398346,1.1157337427139282,0.18939651548862457,0.3525145649909973
0,c03,lh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c03,rh,MCGS3,1267.0,848.0,1664.0,2.118,0.671,0.07,0.009,3.0,0.5,0.7962341904640198,1.5384069681167603,0.40330517292022705,0.423663854598999
0,c03,rh,MCGS2,219.0,143.0,317.0,2.375,0.378,0.059,0.006,0.0,0.1,-0.04799976199865341,0.5287933945655823,-0.024312637746334076,0.47505244612693787
0,c03,rh,MCGS1,35.0,24.0,76.0,3.189,0.368,0.039,0.007,0.0,0.0,0.2970195412635803,0.6007631421089172,0.15044507384300232,0.6378815174102783
0,c04,lh,MCGS3,885.0,595.0,1008.0,1.768,0.672,0.072,0.008,3.0,0.2,0.6048272252082825,1.4124233722686768,0.3257911205291748,0.35352376103401184
0,c04,lh,MCGS2,192.0,138.0,251.0,1.801,0.428,0.082,0.009,1.0,0.1,0.10791590064764023,0.7247847318649292,0.05812905356287956,0.36021873354911804
0,c04,lh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c04,rh,MCGS3,716.0,508.0,1239.0,2.757,0.473,0.076,0.009,2.0,0.2,0.46876245737075806,1.407201886177063,0.1878264844417572,0.5514293909072876
0,c04,rh,MCGS2,644.0,436.0,778.0,1.871,0.538,0.068,0.007,2.0,0.2,0.3941137194633484,1.26218581199646,0.15791578590869904,0.37426984310150146
0,c04,rh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c05,lh,MCGS3,1224.0,805.0,1379.0,1.878,0.514,0.065,0.007,3.0,0.3,0.7578543424606323,1.5851023197174072,0.3755377531051636,0.37551575899124146
0,c05,lh,MCGS2,296.0,202.0,328.0,1.629,0.432,0.081,0.009,1.0,0.1,0.5732873678207397,1.3528492450714111,0.28407973051071167,0.3258347809314728
0,c05,lh,MCGS1,275.0,187.0,446.0,2.331,0.78,0.075,0.012,1.0,0.1,0.2690136134624481,0.8097319006919861,0.1333036720752716,0.46621838212013245
0,c05,rh,MCGS3,751.0,497.0,865.0,1.907,0.683,0.074,0.01,2.0,0.3,0.6072579622268677,1.5333677530288696,0.2947666347026825,0.38147833943367004
0,c05,rh,MCGS2,210.0,142.0,231.0,1.649,0.248,0.065,0.006,0.0,0.1,0.49339887499809265,1.2962687015533447,0.23949874937534332,0.32988065481185913
0,c05,rh,MCGS1,409.0,292.0,625.0,2.373,0.628,0.091,0.014,2.0,0.2,-0.015424396842718124,0.8437504768371582,-0.007487103343009949,0.47459420561790466
0,c06,lh,MCGS3,1006.0,675.0,867.0,1.379,0.464,0.068,0.008,3.0,0.3,0.741017758846283,1.4294852018356323,0.3948211967945099,0.2757343351840973
0,c06,lh,MCGS2,187.0,133.0,162.0,1.353,0.426,0.076,0.009,0.0,0.1,-0.0019355814438313246,0.8164929747581482,-0.0010312942322343588,0.27067893743515015
0,c06,lh,MCGS1,30.0,22.0,25.0,1.145,0.145,0.051,0.004,0.0,0.0,0.02797999233007431,0.29102858901023865,0.014908005483448505,0.22909197211265564
0,c06,rh,MCGS3,674.0,454.0,596.0,1.455,0.439,0.079,0.012,2.0,0.4,0.6785488128662109,1.3557790517807007,0.34453511238098145,0.2910163402557373
0,c06,rh,MCGS2,113.0,81.0,97.0,1.245,0.285,0.071,0.009,0.0,0.0,0.1072559803724289,0.6206183433532715,0.05445953458547592,0.2490673065185547
0,c06,rh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c07,lh,MCGS3,703.0,464.0,686.0,1.574,0.545,0.078,0.009,3.0,0.2,0.5587254166603088,1.3495453596115112,0.2926543951034546,0.3148593306541443
0,c07,lh,MCGS2,483.0,332.0,670.0,2.063,0.615,0.075,0.012,1.0,0.2,0.25056251883506775,1.178463101387024,0.13124196231365204,0.4126874506473541
0,c07,lh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c07,rh,MCGS3,760.0,543.0,932.0,1.901,0.656,0.086,0.012,3.0,0.4,0.6238114237785339,1.4799922704696655,0.31328442692756653,0.38029471039772034
0,c07,rh,MCGS2,354.0,249.0,472.0,1.966,0.382,0.078,0.01,1.0,0.1,0.19130884110927582,1.091181755065918,0.09607723355293274,0.3931889533996582
0,c07,rh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c09,lh,MCGS3,1130.0,765.0,1338.0,2.106,0.707,0.074,0.01,3.0,0.4,0.7869452834129333,1.445027470588684,0.38218265771865845,0.4211715757846832
0,c09,lh,MCGS2,337.0,230.0,455.0,2.197,0.665,0.081,0.01,1.0,0.1,0.36984166502952576,1.132040023803711,0.17961485683918,0.4394655227661133
0,c09,lh,MCGS1,39.0,30.0,56.0,1.744,0.339,0.098,0.018,0.0,0.0,-0.020826295018196106,0.2586205303668976,-0.01011436153203249,0.34888148307800293
0,c09,rh,MCGS3,974.0,652.0,958.0,1.653,0.589,0.078,0.009,3.0,0.4,0.7680879831314087,1.4068610668182373,0.3761714994907379,0.33061879873275757
