,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,c01,lh,frontal,42687.0,28035.0,80729.0,2.735,0.953,0.096,0.024,226.0,41.7,-0.031007306650280952,1.8780126571655273,-0.016510698944330215,0.5469241142272949
0,c01,lh,occipital,15167.0,10152.0,21240.0,2.012,0.78,0.122,0.036,148.0,21.9,-0.11344237625598907,1.423655390739441,-0.06040555238723755,0.4024343490600586
0,c01,lh,parietal,30383.0,20237.0,47127.0,2.256,0.794,0.099,0.023,176.0,26.8,0.01997445337474346,1.7477532625198364,0.010635953396558762,0.45127519965171814
0,c01,lh,cingulate,4891.0,3366.0,10035.0,2.82,0.979,0.104,0.021,35.0,4.0,0.15360988676548004,1.4725488424301147,0.08179384469985962,0.5640491843223572
0,c01,lh,insula,2867.0,1915.0,6569.0,3.29,1.12,0.092,0.025,17.0,2.6,0.5999243259429932,1.6964389085769653,0.3194464147090912,0.6579058170318604
0,c01,lh,cortex,117881.0,78500.0,203684.0,2.448,0.921,0.103,0.027,784.0,127.6,-0.010143608786165714,1.8780126571655273,-0.0054012481123209,0.4896223247051239
0,c01,rh,frontal,43235.0,28604.0,88470.0,2.822,0.997,0.1,0.027,271.0,48.4,-0.01630513183772564,1.8555915355682373,-0.008631822653114796,0.5643748641014099
0,c01,rh,occipital,14397.0,9812.0,22842.0,2.158,0.764,0.118,0.034,125.0,20.0,-0.11673232913017273,1.8511735200881958,-0.06179727986454964,0.4316873848438263
0,c01,rh,parietal,30270.0,20323.0,50023.0,2.357,0.858,0.104,0.024,189.0,27.8,0.015015835873782635,1.8889557123184204,0.007949281483888626,0.4714326858520508
0,c01,rh,cingulate,4244.0,2917.0,8922.0,2.923,0.948,0.117,0.026,38.0,4.5,0.17946170270442963,1.4257811307907104,0.09500577300786972,0.584511399269104
0,c01,rh,insula,2327.0,1578.0,4683.0,2.997,1.084,0.129,0.057,32.0,5.5,0.6213459968566895,1.7931137084960938,0.32893621921539307,0.5994876623153687
0,c01,rh,cortex,115879.0,77643.0,214139.0,2.548,0.952,0.106,0.028,811.0,132.7,-0.00963896606117487,1.8889557123184204,-0.005102801136672497,0.5096519589424133
0,c02,lh,frontal,42164.0,27708.0,85793.0,2.855,1.097,0.094,0.02,232.0,34.4,-0.028095893561840057,1.7494735717773438,-0.013763939961791039,0.570963978767395
0,c02,lh,occipital,15716.0,10697.0,21844.0,1.98,0.759,0.114,0.026,128.0,16.2,-0.1493416428565979,1.761814832687378,-0.07316119223833084,0.39591339230537415
0,c02,lh,parietal,30382.0,20620.0,47207.0,2.243,0.79,0.103,0.021,193.0,24.9,0.008416852913796902,2.0412685871124268,0.004123341292142868,0.4486793875694275
0,c02,lh,cingulate,4641.0,3189.0,7705.0,2.366,0.798,0.106,0.018,38.0,3.0,0.16707348823547363,1.2924492359161377,0.08184787631034851,0.4732078015804291
