,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,sulcal_depth_mm
1,100206,lh,mcgs_db,0,242,182,367,2.182,0.383,0.114,0.017,1,0.2,0.368767231702805,1.05823290348053,0.197806313633919,0.436466246843338,15.1413717089858
2,100206,lh,mcgs_mb,0,826,588,1132,2.1,0.355,0.089,0.014,3,0.5,0.600274562835693,1.40001606941223,0.321986615657806,0.420086354017258,18.4376009323387
3,100206,lh,mcgs_sb,0,151,117,323,2.564,0.345,0.134,0.025,1,0.2,0.445894241333008,0.822162985801697,0.239177227020264,0.512817144393921,10.8687947102142
4,100206,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,100206,rh,mcgs_mb,0,1375,951,1731,2,0.442,0.095,0.019,7,1.1,0.627860009670258,1.42506408691406,0.276401460170746,0.39998921751976,17.334584644155
6,100206,rh,mcgs_sb,0,78,58,130,2.511,0.287,0.093,0.016,1,0,0.307374328374863,0.710895538330078,0.135314717888832,0.50212150812149,10.9276877713406
7,100307,lh,mcgs_db,0,90,78,173,2.468,0.378,0.116,0.025,1,0.1,0.437895715236664,0.712352931499481,0.240442678332329,0.493687003850937,12.4975965535799
8,100307,lh,mcgs_mb,0,585,424,739,2.065,0.373,0.097,0.016,2,0.4,0.377594262361526,1.03318953514099,0.207331955432892,0.412907063961029,15.6461569236734
9,100307,lh,mcgs_sb,0,183,144,344,2.492,0.315,0.138,0.025,1,0.2,0.659707069396973,1.02681422233582,0.36223641037941,0.49832421541214,13.0653007368233
10,100307,rh,mcgs_db,0,292,205,434,2.282,0.255,0.072,0.011,1,0.1,0.273730725049973,0.744097411632538,0.149424076080322,0.45634064078331,11.9924807096255
11,100307,rh,mcgs_mb,0,834,584,1145,2.253,0.459,0.107,0.016,5,0.6,0.560955822467804,1.31449830532074,0.306214451789856,0.450613498687744,15.106079598563
12,100307,rh,mcgs_sb,0,106,75,192,2.548,0.459,0.106,0.027,0,0.1,0.651721656322479,0.984000861644745,0.355761617422104,0.509577453136444,9.42860365656166
13,100408,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,100408,lh,mcgs_mb,0,951,671,1325,2.2,0.318,0.091,0.012,4,0.5,0.563076078891754,1.44416201114655,0.288645386695862,0.439952194690704,16.3185280897074
15,100408,lh,mcgs_sb,0,90,77,250,3.463,0.439,0.146,0.02,1,0.1,0.509233772754669,0.910996735095978,0.26104462146759,0.692535042762756,11.2158174284687
16,100408,rh,mcgs_db,0,232,163,346,2.219,0.28,0.094,0.01,1,0.1,0.261137276887894,0.822919607162476,0.135815232992172,0.443844169378281,10.9501119420158
17,100408,rh,mcgs_mb,0,699,511,991,2.223,0.336,0.106,0.014,4,0.4,0.613957941532135,1.43887293338776,0.319314181804657,0.444679021835327,16.5020671988727
18,100408,rh,mcgs_sb,0,292,215,504,2.494,0.292,0.134,0.033,2,0.5,0.511798918247223,1.12343227863312,0.266182154417038,0.498814046382904,11.9931298141689
19,100610,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,100610,lh,mcgs_mb,0,1281,914,1791,2.153,0.28,0.082,0.009,4,0.5,0.473434031009674,1.25580072402954,0.27464571595192,0.430625289678574,16.2740677934122
21,100610,lh,mcgs_sb,0,29,26,69,2.812,0.383,0.192,0.044,0,0.1,0.322290748357773,0.484316617250443,0.18696540594101,0.562408030033112,5.06449021983586
22,100610,rh,mcgs_db,0,124,92,217,2.345,0.286,0.095,0.01,0,0.1,0.263737440109253,0.651793539524078,0.132459387183189,0.468967854976654,7.82464824820306
23,100610,rh,mcgs_mb,0,753,533,998,2.181,0.293,0.089,0.013,3,0.4,0.501270532608032,1.38931691646576,0.251757949590683,0.436113834381104,15.5964636092539
24,100610,rh,mcgs_sb,0,136,110,247,2.26,0.304,0.128,0.016,1,0.1,0.437541306018829,0.741493344306946,0.219750598073006,0.451986253261566,8.41712395444239
25,101006,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,101006,lh,mcgs_mb,0,1286,888,1667,2.124,0.365,0.088,0.01,5,0.6,0.513282418251038,1.26766669750214,0.29253026843071,0.424817025661469,14.0064846285371
27,101006,lh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,101006,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,101006,rh,mcgs_mb,0,1133,777,1486,2.154,0.325,0.084,0.008,4,0.5,0.506594479084015,1.24950802326202,0.270929038524628,0.430892378091812,13.4038226674903
30,101006,rh,mcgs_sb,0,24,16,43,2.439,0.165,0.121,0.017,0,0,0.372466087341309,0.512274265289307,0.199196562170982,0.487715154886246,7.15208507737272
