,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,pres_abs,sulcal_depth_mm
1,100206,lh,icgs_p,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
2,100206,lh,ifrms,0,144,109,377,3.341,0.516,0.128,0.029,1,0.2,-0.19536392390728,0.105249725282192,-0.104792982339859,0.66822361946106,present,2.59859721671999
3,100206,lh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
4,100206,lh,mcgs,0,1219,887,1821,2.174,0.39,0.1,0.016,5,0.9,0.535191476345062,1.40001606941223,0.287076115608215,0.434824854135513,present,18.4376009323387
5,100206,lh,pos,0,1760,1273,2682,2.391,0.442,0.125,0.024,12,2,0.595548868179321,1.45654964447021,0.319451719522476,0.478199869394302,present,21.9184849423215
6,100206,lh,prculs_d,0,628,451,947,2.318,0.315,0.127,0.022,4,0.7,0.327560067176819,0.947297930717468,0.175702840089798,0.463696867227554,present,16.754813567389
7,100206,lh,prculs_v,0,41,27,91,2.639,0.135,0.127,0.016,0,0,-0.462249755859375,-0.297856241464615,-0.24795027077198,0.527728736400604,present,1.52062565450969
8,100206,lh,prcus_a,0,573,420,871,2.251,0.34,0.112,0.017,3,0.5,0.551372051239014,1.10651850700378,0.295755356550217,0.450121700763702,present,15.169829554122
9,100206,lh,prcus_i,0,320,245,608,2.354,0.321,0.132,0.021,2,0.3,-0.260514318943024,0.29512682557106,-0.139739573001862,0.470727533102036,present,7.44028943234583
10,100206,lh,prcus_p,0,427,317,758,2.614,0.471,0.14,0.022,4,0.5,0.12403354793787,0.588695406913757,0.0665314644575119,0.522735714912415,present,9.27058288461778
11,100206,lh,spls,0,728,506,1248,2.827,0.49,0.117,0.026,4,0.8,0.263258993625641,1.12805485725403,0.141211837530136,0.565419852733612,present,14.4467411208811
12,100206,lh,sspls_d,0,18,12,42,3.002,0.093,0.156,0.058,0,0.1,-0.227544337511063,-0.13654825091362,-0.122054524719715,0.600498795509338,present,2.47795062786142
13,100206,lh,sspls_v,0,46,31,113,3.385,0.158,0.124,0.03,0,0,-0.468815624713898,-0.236072570085526,-0.251472175121307,0.676922023296356,present,3.31304010345448
14,100206,lh,w,0,252,171,404,2.559,0.383,0.101,0.022,1,0.2,0.241512387990952,0.758354961872101,0.129546970129013,0.511862516403198,present,14.7194630861887
15,100206,rh,icgs_p,0,27,24,96,2.754,0.242,0.125,0.045,0,0,-0.227792322635651,-0.164923310279846,-0.10028051584959,0.550859034061432,present,0.561132365687782
16,100206,rh,ifrms,0,91,66,247,3.687,0.302,0.143,0.028,1,0.1,-0.0603086650371552,0.167903110384941,-0.0265495497733355,0.737412869930267,present,1.55200809062628
17,100206,rh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
18,100206,rh,mcgs,0,1453,1009,1861,2.027,0.45,0.095,0.019,8,1.1,0.610655665397644,1.42506408691406,0.268827617168427,0.405471861362457,present,17.334584644155
19,100206,rh,pos,0,2650,1838,3613,2.219,0.435,0.109,0.021,16,2.3,0.606832325458527,1.59909069538116,0.267144471406937,0.443706601858139,present,25.0715553543713
20,100206,rh,prculs_d,0,368,277,698,2.649,0.31,0.121,0.027,2,0.5,0.0969022959470749,0.853883385658264,0.0426590852439404,0.529729902744293,present,15.3834588578419
21,100206,rh,prculs_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
22,100206,rh,prcus_a,0,155,117,235,2.124,0.203,0.106,0.013,1,0.1,0.567278444766998,0.866346716880798,0.249731734395027,0.42483514547348,present,12.7563641222614
23,100206,rh,prcus_i,0,497,368,814,2.339,0.342,0.113,0.023,3,0.4,0.163369372487068,1.15968346595764,0.0719197392463684,0.467843264341354,present,13.3584003045007
24,100206,rh,prcus_p,0,417,286,542,2.09,0.277,0.103,0.016,2,0.3,0.379961341619492,1.19806241989136,0.167269557714462,0.418075919151306,present,14.6569121955802
