,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,100206,lh,POS,1760.0,1273.0,2682.0,2.391,0.442,0.125,0.024,12.0,2.0,0.5955488681793213,1.4565496444702148,0.3194517195224762,0.47819986939430237
0,100206,lh,prculs,628.0,451.0,947.0,2.318,0.315,0.127,0.022,4.0,0.7,0.32756006717681885,0.9472979307174683,0.17570284008979797,0.4636968672275543
0,100206,lh,prcus1,427.0,317.0,758.0,2.614,0.471,0.14,0.022,4.0,0.5,0.12403354793787003,0.5886954069137573,0.0665314644575119,0.5227357149124146
0,100206,lh,prcus2,320.0,245.0,608.0,2.354,0.321,0.132,0.021,2.0,0.3,-0.2605143189430237,0.2951268255710602,-0.13973957300186157,0.4707275331020355
0,100206,lh,prcus3,573.0,420.0,871.0,2.251,0.34,0.112,0.017,3.0,0.5,0.5513720512390137,1.1065185070037842,0.2957553565502167,0.4501217007637024
0,100206,lh,MCGS,1219.0,887.0,1821.0,2.174,0.39,0.1,0.016,5.0,0.9,0.5351914763450623,1.4000160694122314,0.28707611560821533,0.4348248541355133
0,100206,lh,sbps,728.0,506.0,1248.0,2.827,0.49,0.117,0.026,4.0,0.8,0.26325899362564087,1.1280548572540283,0.1412118375301361,0.5654198527336121
0,100206,lh,2,144.0,109.0,377.0,3.341,0.516,0.128,0.029,1.0,0.2,-0.19536392390727997,0.10524972528219223,-0.10479298233985901,0.6682236194610596
0,100206,lh,1,18.0,12.0,42.0,3.002,0.093,0.156,0.058,0.0,0.1,-0.22754433751106262,-0.13654825091362,-0.12205452471971512,0.6004987955093384
0,100206,lh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,lh,x,46.0,31.0,113.0,3.385,0.158,0.124,0.03,0.0,0.0,-0.4688156247138977,-0.2360725700855255,-0.2514721751213074,0.6769220232963562
0,100206,lh,y,41.0,27.0,91.0,2.639,0.135,0.127,0.016,0.0,0.0,-0.462249755859375,-0.29785624146461487,-0.24795027077198029,0.5277287364006042
0,100206,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,lh,w,252.0,171.0,404.0,2.559,0.383,0.101,0.022,1.0,0.2,0.24151238799095154,0.7583549618721008,0.12954697012901306,0.5118625164031982
0,100206,rh,POS,2650.0,1838.0,3613.0,2.219,0.435,0.109,0.021,16.0,2.3,0.6068323254585266,1.5990906953811646,0.26714447140693665,0.44370660185813904
0,100206,rh,prculs,368.0,277.0,698.0,2.649,0.31,0.121,0.027,2.0,0.5,0.09690229594707489,0.8538833856582642,0.04265908524394035,0.5297299027442932
0,100206,rh,prcus1,417.0,286.0,542.0,2.09,0.277,0.103,0.016,2.0,0.3,0.3799613416194916,1.1980624198913574,0.16726955771446228,0.41807591915130615
0,100206,rh,prcus2,497.0,368.0,814.0,2.339,0.342,0.113,0.023,3.0,0.4,0.16336937248706818,1.1596834659576416,0.07191973924636841,0.46784326434135437
0,100206,rh,prcus3,155.0,117.0,235.0,2.124,0.203,0.106,0.013,1.0,0.1,0.5672784447669983,0.8663467168807983,0.24973173439502716,0.4248351454734802
0,100206,rh,MCGS,1453.0,1009.0,1861.0,2.027,0.45,0.095,0.019,8.0,1.1,0.610655665397644,1.4250640869140625,0.2688276171684265,0.4054718613624573
0,100206,rh,sbps,994.0,693.0,1735.0,2.664,0.427,0.107,0.023,5.0,0.9,0.23246149718761444,0.9164333939552307,0.10233602672815323,0.5328431725502014
0,100206,rh,2,91.0,66.0,247.0,3.687,0.302,0.143,0.028,1.0,0.1,-0.06030866503715515,0.1679031103849411,-0.026549549773335457,0.7374128699302673
0,100206,rh,1,15.0,10.0,57.0,3.769,0.294,0.148,0.035,0.0,0.0,-0.17336541414260864,-0.08160338550806046,-0.07632028311491013,0.753852128982544
0,100206,rh,3,27.0,24.0,96.0,2.754,0.242,0.125,0.045,0.0,0.0,-0.22779232263565063,-0.1649233102798462,-0.1002805158495903,0.5508590340614319
0,100206,rh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,rh,w,83.0,66.0,170.0,2.411,0.367,0.101,0.017,0.0,0.1,0.3112294375896454,0.7002151012420654,0.13701185584068298,0.482218861579895
0,100307,lh,POS,1453.0,1015.0,2120.0,2.409,0.445,0.111,0.019,8.0,1.3,0.7125231623649597,1.5079920291900635,0.39123696088790894,0.4818931818008423
0,100307,lh,prculs,508.0,358.0,754.0,2.184,0.329,0.094,0.02,2.0,0.4,0.10035375505685806,1.041463017463684,0.05510290339589119,0.43673625588417053
0,100307,lh,prcus1,363.0,252.0,532.0,2.232,0.314,0.118,0.018,2.0,0.3,0.05910690501332283,0.5158721804618835,0.032454825937747955,0.4464613199234009
0,100307,lh,prcus2,91.0,81.0,206.0,2.367,0.244,0.139,0.015,1.0,0.0,-0.07607348263263702,0.3061735928058624,-0.04177093878388405,0.4733336269855499
0,100307,lh,prcus3,280.0,207.0,456.0,2.297,0.266,0.12,0.017,2.0,0.2,0.5206231474876404,0.9906895756721497,0.28586721420288086,0.45947739481925964
0,100307,lh,MCGS,858.0,646.0,1256.0,2.198,0.411,0.107,0.019,4.0,0.8,0.44409048557281494,1.0331895351409912,0.2438441663980484,0.43959879875183105
0,100307,lh,sbps,449.0,329.0,746.0,2.522,0.377,0.116,0.019,2.0,0.4,0.4979186952114105,1.0655587911605835,0.2734004855155945,0.5043495893478394
0,100307,lh,2,133.0,95.0,328.0,3.49,0.337,0.142,0.026,1.0,0.2,0.08092069625854492,0.29810261726379395,0.04443247616291046,0.6979233622550964
0,100307,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,lh,3,49.0,36.0,126.0,3.313,0.483,0.113,0.16,1.0,0.1,-0.10990943014621735,0.12429845333099365,-0.06034979596734047,0.6626203656196594
0,100307,lh,x,143.0,95.0,292.0,2.96,0.366,0.107,0.019,1.0,0.1,-0.14452414214611053,0.05897531658411026,-0.07935628294944763,0.5919592380523682
0,100307,lh,y,123.0,89.0,230.0,2.343,0.336,0.115,0.015,1.0,0.1,-0.0019788984209299088,0.3271677792072296,-0.0010865859221667051,0.4685033857822418
0,100307,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,lh,w,140.0,103.0,208.0,2.026,0.354,0.115,0.016,0.0,0.2,0.3401864171028137,0.7635276317596436,0.1867918223142624,0.4051264226436615
0,100307,rh,POS,1281.0,891.0,1937.0,2.691,0.464,0.107,0.025,7.0,1.3,0.8757404088973999,1.5300724506378174,0.47804901003837585,0.5382552742958069
0,100307,rh,prculs,675.0,455.0,905.0,2.116,0.413,0.104,0.015,4.0,0.5,0.32138174772262573,1.1244735717773438,0.17543579638004303,0.42318621277809143
0,100307,rh,prcus1,368.0,245.0,561.0,2.443,0.344,0.091,0.012,1.0,0.2,-0.000914138276129961,0.8361479640007019,-0.0004990204470232129,0.48869556188583374
0,100307,rh,prcus2,307.0,215.0,476.0,2.235,0.305,0.1,0.027,3.0,0.3,-0.0555817186832428,0.4952695667743683,-0.030340934172272682,0.4470658302307129
0,100307,rh,prcus3,239.0,184.0,424.0,2.456,0.274,0.116,0.02,1.0,0.2,0.32484620809555054,0.7950140237808228,0.17732694745063782,0.49113112688064575
0,100307,rh,MCGS,1232.0,865.0,1771.0,2.285,0.427,0.098,0.016,6.0,0.8,0.5006891489028931,1.3144983053207397,0.27331608533859253,0.4570441246032715
0,100307,rh,sbps,371.0,264.0,806.0,2.894,0.505,0.107,0.018,2.0,0.3,0.2680615484714508,0.7201250791549683,0.1463293582201004,0.5787428617477417
0,100307,rh,2,103.0,74.0,306.0,4.095,0.558,0.121,0.024,0.0,0.1,0.03398198261857033,0.1389491856098175,0.018550075590610504,0.819096028804779
0,100307,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,rh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,rh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,rh,w,180.0,123.0,289.0,2.762,0.671,0.105,0.026,1.0,0.2,0.5237430930137634,0.9855936765670776,0.2859007716178894,0.5523955225944519
0,100408,lh,POS,1889.0,1345.0,2809.0,2.313,0.408,0.107,0.02,9.0,1.7,0.5761581659317017,1.3412011861801147,0.2953515648841858,0.46261242032051086
0,100408,lh,prculs,584.0,414.0,832.0,2.26,0.372,0.122,0.021,4.0,0.7,0.40533873438835144,1.171878695487976,0.2077857106924057,0.4520876705646515
0,100408,lh,prcus1,1278.0,923.0,1800.0,2.195,0.332,0.114,0.021,7.0,1.2,0.26491719484329224,1.12384831905365,0.1358024775981903,0.43902596831321716
0,100408,lh,prcus2,108.0,78.0,242.0,2.736,0.417,0.14,0.024,1.0,0.2,-0.32194384932518005,-0.11260385066270828,-0.1650356501340866,0.5471107959747314
0,100408,lh,prcus3,505.0,367.0,804.0,2.413,0.283,0.099,0.014,2.0,0.3,0.12832628190517426,0.9371750950813293,0.06578291952610016,0.4826689660549164
0,100408,lh,MCGS,1041.0,748.0,1575.0,2.309,0.485,0.096,0.013,5.0,0.6,0.5584211945533752,1.4441620111465454,0.28625917434692383,0.4617893099784851
0,100408,lh,sbps,363.0,246.0,529.0,2.442,0.237,0.095,0.016,2.0,0.3,0.37517502903938293,0.9716631770133972,0.19232311844825745,0.48838570713996887
0,100408,lh,2,96.0,74.0,309.0,4.216,0.372,0.147,0.026,1.0,0.2,0.02354246936738491,0.1668323427438736,0.01206839457154274,0.843273937702179
0,100408,lh,1,111.0,74.0,239.0,3.145,0.264,0.131,0.037,1.0,0.2,0.1674945205450058,0.40175729990005493,0.0858614444732666,0.6290284991264343
0,100408,lh,3,81.0,59.0,183.0,3.098,0.334,0.147,0.035,1.0,0.1,0.07338505983352661,0.30435457825660706,0.03761882334947586,0.6195076107978821
0,100408,lh,x,91.0,69.0,198.0,2.971,0.501,0.135,0.025,1.0,0.1,0.0809471383690834,0.3461907207965851,0.041495319455862045,0.594216525554657
0,100408,lh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,lh,isms,94.0,74.0,233.0,3.164,0.297,0.124,0.021,0.0,0.1,0.0417264848947525,0.2296217679977417,0.021389927715063095,0.6327762007713318
0,100408,lh,w,266.0,183.0,423.0,2.471,0.326,0.086,0.018,1.0,0.2,0.3831087052822113,1.0281970500946045,0.1963900923728943,0.4942018985748291
0,100408,rh,POS,2319.0,1643.0,3345.0,2.302,0.399,0.105,0.017,13.0,1.7,0.638810396194458,1.557782769203186,0.33223971724510193,0.46045300364494324
0,100408,rh,prculs,669.0,482.0,1179.0,2.716,0.439,0.12,0.023,4.0,0.7,0.2794594168663025,1.0539147853851318,0.14534442126750946,0.5431233644485474
0,100408,rh,prcus1,269.0,192.0,396.0,2.312,0.263,0.095,0.026,1.0,0.2,-0.04861502721905708,0.4594499468803406,-0.02528425306081772,0.46237853169441223
0,100408,rh,prcus2,448.0,332.0,712.0,2.401,0.432,0.133,0.022,4.0,0.4,0.17768827080726624,1.0830235481262207,0.09241414070129395,0.4802885055541992
0,100408,rh,prcus3,726.0,540.0,1116.0,2.304,0.273,0.11,0.018,4.0,0.5,0.23789513111114502,1.2076311111450195,0.12372719496488571,0.4607296884059906
0,100408,rh,MCGS,1223.0,889.0,1841.0,2.287,0.337,0.111,0.018,7.0,1.0,0.5226374864578247,1.4388729333877563,0.27181923389434814,0.45744583010673523
0,100408,rh,sbps,471.0,330.0,780.0,2.66,0.411,0.112,0.016,3.0,0.4,0.16881722211837769,0.6653589010238647,0.08780036866664886,0.5320869088172913
0,100408,rh,2,95.0,72.0,268.0,3.714,0.41,0.141,0.024,1.0,0.1,-0.0485052615404129,0.0912235900759697,-0.02522716298699379,0.7427719831466675
0,100408,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,rh,3,65.0,49.0,172.0,2.724,0.27,0.105,0.012,0.0,0.0,-0.07066139578819275,0.12918886542320251,-0.03675038367509842,0.5447068214416504
0,100408,rh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,rh,w,209.0,150.0,340.0,2.417,0.437,0.084,0.013,0.0,0.2,0.5696842074394226,1.123799204826355,0.2962878346443176,0.4833848476409912
0,100610,lh,POS,2304.0,1666.0,3460.0,2.347,0.418,0.112,0.016,13.0,1.8,0.4832835793495178,1.4324932098388672,0.2803595960140228,0.46943092346191406
0,100610,lh,prculs,720.0,524.0,1017.0,2.096,0.322,0.121,0.019,5.0,0.6,0.007326640188694,0.6464031934738159,0.004250286612659693,0.41910263895988464
0,100610,lh,prcus1,228.0,167.0,404.0,2.676,0.499,0.127,0.019,2.0,0.2,-0.19117656350135803,0.013481437228620052,-0.11090420931577682,0.5351108908653259
0,100610,lh,prcus2,367.0,259.0,485.0,2.098,0.307,0.102,0.017,2.0,0.2,0.0713004544377327,0.647934079170227,0.04136239364743233,0.41955503821372986
0,100610,lh,prcus3,358.0,261.0,554.0,2.14,0.29,0.105,0.013,2.0,0.2,0.1615084409713745,0.7255526781082153,0.0936933159828186,0.4280588924884796
0,100610,lh,MCGS,1309.0,939.0,1857.0,2.167,0.298,0.084,0.01,4.0,0.6,0.470140665769577,1.255800724029541,0.27273520827293396,0.4334479868412018
0,100610,lh,sbps,699.0,494.0,1069.0,2.427,0.328,0.114,0.021,3.0,0.7,0.554889440536499,1.1154999732971191,0.3218991458415985,0.4854511618614197
0,100610,lh,2,85.0,68.0,243.0,3.638,0.314,0.163,0.03,1.0,0.1,-0.123775415122509,-0.03144620358943939,-0.07180385291576385,0.7275082468986511
0,100610,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100610,lh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100610,lh,x,52.0,32.0,129.0,3.36,0.246,0.088,0.018,0.0,0.1,-0.47524020075798035,-0.3268097937107086,-0.2756935656070709,0.6720007658004761
0,100610,lh,y,75.0,52.0,159.0,2.396,0.437,0.123,0.015,0.0,0.1,-0.12266965210437775,0.13480328023433685,-0.0711623951792717,0.4791403114795685
0,100610,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100610,lh,w,45.0,29.0,75.0,2.443,0.227,0.074,0.009,0.0,0.0,0.25620728731155396,0.4353000521659851,0.14862945675849915,0.48867955803871155
0,100610,rh,POS,1434.0,1032.0,2307.0,2.495,0.369,0.114,0.021,7.0,1.5,0.5358721017837524,1.387526512145996,0.2691362202167511,0.4989791214466095
0,100610,rh,prculs,830.0,605.0,1263.0,2.166,0.276,0.099,0.016,3.0,0.5,0.3063896596431732,1.1858912706375122,0.1538810431957245,0.4332751929759979
0,100610,rh,prcus1,207.0,148.0,362.0,2.486,0.273,0.121,0.021,1.0,0.2,0.022725943475961685,0.5789988040924072,0.011413869448006153,0.4971793293952942
0,100610,rh,prcus2,229.0,167.0,392.0,2.28,0.231,0.113,0.015,1.0,0.1,-0.1646563559770584,0.5688999891281128,-0.08269694447517395,0.45598268508911133
0,100610,rh,prcus3,275.0,186.0,376.0,2.231,0.314,0.098,0.015,1.0,0.2,0.43088585138320923,1.0173941850662231,0.21640793979167938,0.44619104266166687
0,100610,rh,MCGS,1013.0,735.0,1463.0,2.211,0.299,0.095,0.013,4.0,0.5,0.4636385440826416,1.3893169164657593,0.2328576296567917,0.44226640462875366
0,100610,rh,sbps,465.0,324.0,843.0,2.609,0.42,0.108,0.02,2.0,0.4,0.3432885706424713,1.0403907299041748,0.17241311073303223,0.5218923091888428
0,100610,rh,2,112.0,74.0,280.0,3.672,0.445,0.132,0.035,1.0,0.1,0.027401285246014595,0.2049536406993866,0.013762012124061584,0.7344788312911987
0,100610,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100610,rh,3,39.0,24.0,86.0,3.134,0.196,0.121,0.03,0.0,0.1,-0.12397335469722748,-0.07607419788837433,-0.062264345586299896,0.626815915107727
0,100610,rh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100610,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100610,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100610,rh,w,139.0,100.0,229.0,2.164,0.252,0.086,0.012,0.0,0.1,0.4186983108520508,0.7939991354942322,0.21028688549995422,0.43272125720977783
0,101006,lh,POS,946.0,676.0,1292.0,2.136,0.361,0.118,0.023,5.0,1.0,0.4374329447746277,1.1969484090805054,0.24930213391780853,0.42722925543785095
0,101006,lh,prculs,1090.0,761.0,1448.0,2.112,0.261,0.108,0.016,6.0,0.8,0.35844674706459045,1.2390424013137817,0.20428621768951416,0.4223664402961731
0,101006,lh,prcus1,201.0,147.0,335.0,2.228,0.333,0.142,0.032,2.0,0.2,-0.4985733926296234,0.03215284273028374,-0.28414738178253174,0.445690393447876
0,101006,lh,prcus2,209.0,149.0,354.0,2.307,0.393,0.126,0.017,2.0,0.1,0.07523328065872192,0.521422266960144,0.04287700727581978,0.4614928662776947
0,101006,lh,prcus3,344.0,237.0,467.0,2.121,0.314,0.104,0.017,2.0,0.2,0.33957329392433167,0.9707090258598328,0.1935298591852188,0.42420053482055664
0,101006,lh,MCGS,1286.0,888.0,1667.0,2.124,0.365,0.088,0.01,5.0,0.6,0.5132824182510376,1.2676666975021362,0.29253026843070984,0.4248170256614685
0,101006,lh,sbps,589.0,415.0,933.0,2.391,0.411,0.121,0.023,3.0,0.7,0.366172194480896,1.044700026512146,0.2086891531944275,0.4782780110836029
0,101006,lh,2,27.0,19.0,57.0,2.787,0.375,0.114,0.013,0.0,0.0,-0.14005833864212036,-0.08207640796899796,-0.07982216030359268,0.5573632121086121
0,101006,lh,1,56.0,39.0,120.0,2.565,0.246,0.112,0.022,0.0,0.1,0.0180088821798563,0.19948792457580566,0.010263635776937008,0.5129595994949341
0,101006,lh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101006,lh,x,59.0,44.0,137.0,2.972,0.219,0.132,0.034,0.0,0.1,-0.3588044345378876,-0.24751651287078857,-0.20449011027812958,0.5943560600280762
0,101006,lh,y,59.0,47.0,105.0,2.039,0.246,0.156,0.037,0.0,0.2,-0.12085478752851486,0.13080717623233795,-0.06887766718864441,0.4078527092933655
0,101006,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101006,lh,w,90.0,69.0,193.0,2.733,0.318,0.061,0.008,0.0,0.0,0.42485806345939636,0.739072322845459,0.2421354502439499,0.5466061234474182
0,101006,rh,POS,964.0,703.0,1419.0,2.296,0.386,0.11,0.024,5.0,1.0,0.565913200378418,1.2080168724060059,0.30265292525291443,0.45926523208618164
0,101006,rh,prculs,938.0,673.0,1322.0,2.179,0.334,0.102,0.018,5.0,0.7,0.24185581505298615,0.9467011094093323,0.1293455958366394,0.43586865067481995
0,101006,rh,prcus1,177.0,127.0,302.0,2.366,0.309,0.118,0.02,1.0,0.1,8.98178041097708e-05,0.5932695865631104,4.8033936764113605e-05,0.47314944863319397
0,101006,rh,prcus2,162.0,122.0,306.0,2.669,0.308,0.146,0.016,2.0,0.1,-0.3948022425174713,-0.08274208009243011,-0.21114203333854675,0.5337363481521606
0,101006,rh,prcus3,411.0,299.0,653.0,2.285,0.325,0.117,0.021,2.0,0.4,0.20938259363174438,0.7038671374320984,0.11197876185178757,0.45697540044784546
0,101006,rh,MCGS,1157.0,793.0,1529.0,2.16,0.325,0.084,0.009,4.0,0.5,0.5038121938705444,1.249508023262024,0.26944103837013245,0.4320710599422455
0,101006,rh,sbps,379.0,274.0,656.0,2.782,0.453,0.138,0.036,2.0,0.6,0.2998813986778259,0.8164235353469849,0.16037791967391968,0.5563629865646362
0,101006,rh,2,167.0,113.0,322.0,3.024,0.458,0.122,0.02,1.0,0.2,0.19502665102481842,0.4258436858654022,0.10430113226175308,0.6047243475914001
0,101006,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101006,rh,3,52.0,33.0,128.0,3.448,0.492,0.093,0.019,0.0,0.0,0.13074016571044922,0.3335350751876831,0.06992043554782867,0.6896384358406067
0,101006,rh,x,70.0,56.0,180.0,3.188,0.232,0.132,0.016,1.0,0.0,-0.21982508897781372,-0.040999285876750946,-0.11756344884634018,0.6375805735588074
0,101006,rh,y,65.0,43.0,111.0,2.713,0.209,0.087,0.022,0.0,0.0,-0.31693941354751587,-0.04354551434516907,-0.16950064897537231,0.5426183342933655
0,101006,rh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101006,rh,w,69.0,50.0,140.0,2.838,0.288,0.077,0.012,0.0,0.1,0.4105145037174225,0.6381315588951111,0.21954499185085297,0.567696213722229
0,101107,lh,POS,1142.0,803.0,1886.0,2.72,0.466,0.112,0.021,5.0,1.1,0.6460827589035034,1.263403296470642,0.36801382899284363,0.544048011302948
0,101107,lh,prculs,320.0,234.0,639.0,2.725,0.383,0.096,0.016,1.0,0.2,0.11931098997592926,0.7661997675895691,0.06796048581600189,0.5450522303581238
0,101107,lh,prcus1,506.0,357.0,823.0,2.497,0.342,0.108,0.013,3.0,0.3,0.29927077889442444,0.9394446611404419,0.17046700417995453,0.499472439289093
0,101107,lh,prcus2,165.0,125.0,282.0,2.561,0.349,0.127,0.026,1.0,0.2,0.485480397939682,0.802047848701477,0.27653345465660095,0.5122940540313721
0,101107,lh,prcus3,760.0,553.0,1223.0,2.432,0.315,0.086,0.01,3.0,0.3,0.371891587972641,1.284674882888794,0.21183237433433533,0.48636871576309204
0,101107,lh,MCGS,728.0,497.0,1075.0,2.486,0.385,0.089,0.014,3.0,0.4,0.5020967125892639,1.0887454748153687,0.28599828481674194,0.49721673130989075
0,101107,lh,sbps,678.0,488.0,1233.0,2.853,0.434,0.122,0.02,4.0,0.7,0.5035344958305359,1.2776602506637573,0.2868172228336334,0.5705791115760803
0,101107,lh,2,63.0,45.0,162.0,3.034,0.169,0.105,0.016,0.0,0.1,-0.22742849588394165,-0.125961035490036,-0.12954507768154144,0.606766939163208
0,101107,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101107,lh,3,11.0,8.0,36.0,3.671,0.238,0.109,0.013,0.0,0.0,-0.1635674387216568,-0.08969242870807648,-0.09316930919885635,0.7341985702514648
0,101107,lh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101107,lh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101107,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101107,lh,w,27.0,20.0,78.0,3.163,0.18,0.066,0.009,0.0,0.0,0.12845522165298462,0.32820799946784973,0.07316910475492477,0.6325518488883972
