,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,100206,lh,MCGS3,826.0,588.0,1132.0,2.1,0.355,0.089,0.014,3.0,0.5,0.6002745628356934,1.4000160694122314,0.3219866156578064,0.4200863540172577
0,100206,lh,MCGS2,242.0,182.0,367.0,2.182,0.383,0.114,0.017,1.0,0.2,0.36876723170280457,1.0582329034805298,0.19780631363391876,0.436466246843338
0,100206,lh,MCGS1,151.0,117.0,323.0,2.564,0.345,0.134,0.025,1.0,0.2,0.4458942413330078,0.8221629858016968,0.23917722702026367,0.5128171443939209
0,100206,rh,MCGS3,1375.0,951.0,1731.0,2.0,0.442,0.095,0.019,7.0,1.1,0.6278600096702576,1.4250640869140625,0.27640146017074585,0.39998921751976013
0,100206,rh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,rh,MCGS1,78.0,58.0,130.0,2.511,0.287,0.093,0.016,1.0,0.0,0.30737432837486267,0.7108955383300781,0.1353147178888321,0.5021215081214905
0,100307,lh,MCGS3,585.0,424.0,739.0,2.065,0.373,0.097,0.016,2.0,0.4,0.3775942623615265,1.0331895351409912,0.20733195543289185,0.41290706396102905
0,100307,lh,MCGS2,90.0,78.0,173.0,2.468,0.378,0.116,0.025,1.0,0.1,0.4378957152366638,0.7123529314994812,0.2404426783323288,0.4936870038509369
0,100307,lh,MCGS1,183.0,144.0,344.0,2.492,0.315,0.138,0.025,1.0,0.2,0.6597070693969727,1.0268142223358154,0.3622364103794098,0.4983242154121399
0,100307,rh,MCGS3,834.0,584.0,1145.0,2.253,0.459,0.107,0.016,5.0,0.6,0.560955822467804,1.3144983053207397,0.30621445178985596,0.45061349868774414
0,100307,rh,MCGS2,292.0,205.0,434.0,2.282,0.255,0.072,0.011,1.0,0.1,0.27373072504997253,0.7440974116325378,0.14942407608032227,0.45634064078330994
0,100307,rh,MCGS1,106.0,75.0,192.0,2.548,0.459,0.106,0.027,0.0,0.1,0.6517216563224792,0.9840008616447449,0.3557616174221039,0.5095774531364441
0,100408,lh,MCGS3,951.0,671.0,1325.0,2.2,0.318,0.091,0.012,4.0,0.5,0.5630760788917542,1.4441620111465454,0.2886453866958618,0.43995219469070435
0,100408,lh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,lh,MCGS1,90.0,77.0,250.0,3.463,0.439,0.146,0.02,1.0,0.1,0.5092337727546692,0.9109967350959778,0.26104462146759033,0.6925350427627563
0,100408,rh,MCGS3,699.0,511.0,991.0,2.223,0.336,0.106,0.014,4.0,0.4,0.613957941532135,1.4388729333877563,0.319314181804657,0.44467902183532715
0,100408,rh,MCGS2,232.0,163.0,346.0,2.219,0.28,0.094,0.01,1.0,0.1,0.2611372768878937,0.8229196071624756,0.13581523299217224,0.44384416937828064
0,100408,rh,MCGS1,292.0,215.0,504.0,2.494,0.292,0.134,0.033,2.0,0.5,0.5117989182472229,1.1234322786331177,0.26618215441703796,0.49881404638290405
0,100610,lh,MCGS3,1281.0,914.0,1791.0,2.153,0.28,0.082,0.009,4.0,0.5,0.4734340310096741,1.255800724029541,0.27464571595191956,0.4306252896785736
0,100610,lh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100610,lh,MCGS1,29.0,26.0,69.0,2.812,0.383,0.192,0.044,0.0,0.1,0.3222907483577728,0.4843166172504425,0.18696540594100952,0.5624080300331116
0,100610,rh,MCGS3,753.0,533.0,998.0,2.181,0.293,0.089,0.013,3.0,0.4,0.5012705326080322,1.3893169164657593,0.251757949590683,0.4361138343811035
0,100610,rh,MCGS2,124.0,92.0,217.0,2.345,0.286,0.095,0.01,0.0,0.1,0.26373744010925293,0.6517935395240784,0.1324593871831894,0.46896785497665405
0,100610,rh,MCGS1,136.0,110.0,247.0,2.26,0.304,0.128,0.016,1.0,0.1,0.43754130601882935,0.7414933443069458,0.21975059807300568,0.45198625326156616
0,101006,lh,MCGS3,1286.0,888.0,1667.0,2.124,0.365,0.088,0.01,5.0,0.6,0.5132824182510376,1.2676666975021362,0.29253026843070984,0.4248170256614685
0,101006,lh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101006,lh,MCGS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101006,rh,MCGS3,1133.0,777.0,1486.0,2.154,0.325,0.084,0.008,4.0,0.5,0.5065944790840149,1.249508023262024,0.2709290385246277,0.43089237809181213
0,101006,rh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101006,rh,MCGS1,24.0,16.0,43.0,2.439,0.165,0.121,0.017,0.0,0.0,0.3724660873413086,0.5122742652893066,0.19919656217098236,0.4877151548862457
0,101107,lh,MCGS3,663.0,447.0,934.0,2.496,0.388,0.092,0.014,3.0,0.4,0.48822277784347534,1.0887454748153687,0.2780955731868744,0.49923011660575867
0,101107,lh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,101107,lh,MCGS1,65.0,50.0,140.0,2.383,0.34,0.057,0.007,0.0,0.0,0.6436113715171814,0.9282697439193726,0.36660608649253845,0.4766799211502075
0,101107,rh,MCGS3,1083.0,737.0,1539.0,2.369,0.352,0.087,0.011,3.0,0.6,0.5667421817779541,1.3428136110305786,0.32196053862571716,0.4738953113555908
0,101107,rh,MCGS2,171.0,121.0,279.0,2.385,0.354,0.075,0.01,0.0,0.1,0.2556127905845642,0.7147301435470581,0.14521107077598572,0.47701409459114075
0,101107,rh,MCGS1,46.0,38.0,121.0,2.705,0.229,0.087,0.007,0.0,0.0,0.647771954536438,0.853459894657135,0.36799272894859314,0.5409190654754639
0,180937,lh,MCGS3,1292.0,935.0,1717.0,1.889,0.397,0.096,0.014,5.0,0.8,0.48789259791374207,1.3376175165176392,0.2692602276802063,0.3778085708618164
0,180937,lh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,180937,lh,MCGS1,36.0,34.0,78.0,1.943,0.22,0.158,0.017,0.0,0.0,0.4417751729488373,0.6919628381729126,0.243808776140213,0.38854092359542847
0,180937,rh,MCGS3,745.0,563.0,999.0,1.871,0.304,0.1,0.014,3.0,0.5,0.2940070927143097,1.1631207466125488,0.15695150196552277,0.37428438663482666
0,180937,rh,MCGS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,180937,rh,MCGS1,41.0,30.0,83.0,2.044,0.481,0.133,0.018,0.0,0.0,0.48942601680755615,0.6831375360488892,0.2612731158733368,0.4087103307247162
0,268749,lh,MCGS3,661.0,492.0,963.0,2.195,0.41,0.114,0.018,4.0,0.5,0.4727976322174072,1.179904818534851,0.2575320601463318,0.43896234035491943
0,268749,lh,MCGS2,1524.0,1116.0,2147.0,2.148,0.308,0.104,0.018,7.0,1.3,0.3034345507621765,1.1726932525634766,0.165280282497406,0.429572731256485
0,268749,lh,MCGS1,86.0,68.0,151.0,2.237,0.292,0.133,0.018,1.0,0.1,0.4685150980949402,0.8132551908493042,0.2551993727684021,0.44737154245376587
0,268749,rh,MCGS3,1061.0,751.0,1548.0,2.342,0.431,0.108,0.021,5.0,1.0,0.6527248620986938,1.4064502716064453,0.33576929569244385,0.46843504905700684
0,268749,rh,MCGS2,376.0,263.0,521.0,2.069,0.316,0.099,0.012,2.0,0.2,0.23462434113025665,1.0915701389312744,0.12069349735975266,0.41373109817504883
0,268749,rh,MCGS1,130.0,96.0,220.0,2.58,0.35,0.122,0.033,1.0,0.2,0.5807590484619141,0.9635803699493408,0.298749178647995,0.5159909725189209
0,365343,lh,MCGS3,604.0,403.0,853.0,2.361,0.26,0.074,0.008,2.0,0.2,0.5915411114692688,1.3223353624343872,0.3238525390625,0.4721023738384247
0,365343,lh,MCGS2,455.0,325.0,583.0,1.975,0.276,0.091,0.011,2.0,0.3,0.411753386259079,1.012770652770996,0.2254236936569214,0.3949523866176605
0,365343,lh,MCGS1,82.0,76.0,220.0,2.621,0.308,0.121,0.03,1.0,0.0,0.4167170226573944,0.7811508774757385,0.22814112901687622,0.524209201335907
0,365343,rh,MCGS3,754.0,552.0,1087.0,2.238,0.378,0.106,0.013,4.0,0.5,0.5051528811454773,1.3347371816635132,0.26255878806114197,0.44754117727279663
0,365343,rh,MCGS2,114.0,82.0,206.0,2.561,0.257,0.112,0.016,1.0,0.1,0.38095805048942566,0.7836511731147766,0.19800718128681183,0.5122835040092468
0,365343,rh,MCGS1,166.0,116.0,298.0,2.581,0.372,0.126,0.022,1.0,0.2,0.5294727683067322,0.8718419075012207,0.2751993238925934,0.5161666870117188
0,531536,lh,MCGS3,1120.0,811.0,1599.0,2.264,0.286,0.091,0.01,4.0,0.5,0.6211830377578735,1.5458821058273315,0.3284805715084076,0.45274773240089417
