"","sub","hemi","species","insula_depth"
"137","100206","lh","human",29.885994521319
"138","100206","rh","human",28.6279403533833
"139","100307","lh","human",29.4381076364884
"140","100307","rh","human",29.1128976911078
"141","100408","lh","human",29.5340506234119
"142","100408","rh","human",28.1871768129501
"143","100610","lh","human",29.5749387934131
"144","100610","rh","human",27.6702577504433
"145","101006","lh","human",28.3187670209537
"146","101006","rh","human",27.5271163869815
"147","101107","lh","human",28.1975035968382
"148","101107","rh","human",27.6317911461175
"149","101309","lh","human",28.0023242742524
"150","101309","rh","human",27.4837608580406
"151","101410","lh","human",31.0142511504583
"152","101410","rh","human",29.3491850249889
"153","101915","lh","human",26.8827299890288
"154","101915","rh","human",25.4304587563239
"155","102008","lh","human",27.4196477795457
"156","102008","rh","human",25.8812154687256
"157","102311","lh","human",27.0565102257353
"158","102311","rh","human",25.0035266050802
"159","102513","lh","human",29.9515783358281
"160","102513","rh","human",31.4162605814239
"161","102816","lh","human",27.9058214394058
"162","102816","rh","human",27.9280081981512
"163","103111","lh","human",29.7875439050509
"164","103111","rh","human",26.8906632787176
"165","103414","lh","human",25.476643617959
"166","103414","rh","human",25.8087610344069
"167","103515","lh","human",24.8682424067395
"168","103515","rh","human",23.6335591551902
"169","103818","lh","human",27.3083649961888
"170","103818","rh","human",27.3233185844424
"171","104416","lh","human",27.1305618992357
"172","104416","rh","human",26.2050012565992
"173","104820","lh","human",27.1926680347033
"174","104820","rh","human",26.877836619671
"175","105014","lh","human",27.4703220049945
"176","105014","rh","human",26.103125392292
"177","105115","lh","human",29.6350468724439
"178","105115","rh","human",27.0637792661395
"179","105216","lh","human",28.2467144057653
"180","105216","rh","human",27.513321733494
"181","105620","lh","human",26.606942871452
"182","105620","rh","human",26.5779988259088
"183","106016","lh","human",25.3808813646178
"184","106016","rh","human",23.4467811202659
"185","106319","lh","human",27.9344440053454
"186","106319","rh","human",26.5206257962465
"187","106521","lh","human",29.1757755943245
"188","106521","rh","human",27.6181320416939
"189","107018","lh","human",26.0960727123958
"190","107018","rh","human",24.7989384054991
"191","107220","lh","human",26.1626519736541
"192","107220","rh","human",26.303709094628
"193","107321","lh","human",25.8108113836387
"194","107321","rh","human",27.2379969645691
"195","107422","lh","human",28.6596088052795
"196","107422","rh","human",25.5917504931561
"197","107725","lh","human",28.3314126029783
"198","107725","rh","human",25.8546950419914
"199","108121","lh","human",27.1079701061584
"200","108121","rh","human",27.6599068801195
"201","108222","lh","human",27.8896176369874
"202","108222","rh","human",26.5326657621378
"203","108323","lh","human",29.2410403510177
"204","108323","rh","human",27.1802422207882
"205","108525","lh","human",25.8667079054449
"206","108525","rh","human",25.6179872505208
"207","108828","lh","human",29.018219436316
"208","108828","rh","human",28.0380108719092
"209","109123","lh","human",29.44997966422
"210","109123","rh","human",28.197343073871
"211","109325","lh","human",27.9626555221478
"212","109325","rh","human",25.5741266745339
"213","109830","lh","human",27.6328474152565
"214","109830","rh","human",27.1497664033304
"215","110007","lh","human",26.7425542696668
"216","110007","rh","human",27.0179041286537
"217","110411","lh","human",28.5284649741591
"218","110411","rh","human",27.6219047796453
"219","110613","lh","human",28.2492326640999
"220","110613","rh","human",27.8469945819713
"221","112920","lh","human",29.6776491937365
"222","112920","rh","human",28.3424920988323
"223","114924","lh","human",29.1999733010694
"224","114924","rh","human",28.1734444051016
"227","120111","lh","human",30.4104298173403
"228","120111","rh","human",27.0474031106679
"229","128127","lh","human",26.7277886630578
"230","128127","rh","human",24.8655290119434
"231","133928","lh","human",29.037722885921
"232","133928","rh","human",27.1592650956625
"237","144125","lh","human",26.4085773326631
"238","144125","rh","human",25.7552030420082
"239","146937","lh","human",24.8917404765962
"240","146937","rh","human",23.5041477402575
"241","151425","lh","human",28.3899198604664
"242","151425","rh","human",26.1754002820617
"243","151829","lh","human",25.2781246942911
"244","151829","rh","human",25.2671731680075
"245","164939","lh","human",25.5372170467619
"246","164939","rh","human",26.3867341460512
"247","168240","lh","human",29.1172226492066
"248","168240","rh","human",28.9913686101698
"249","176744","lh","human",29.2561961406965
"250","176744","rh","human",26.2246242470789
"251","180937","lh","human",28.0955909720907
"252","180937","rh","human",23.1359782659969
"253","185947","lh","human",27.5513056582034
"254","185947","rh","human",27.0013382238814
"255","214019","lh","human",25.8489886111827
"256","214019","rh","human",26.2604227861002
"257","268749","lh","human",29.9782837700217
"258","268749","rh","human",28.9646663994921
"261","365343","lh","human",27.0054846274517
"262","365343","rh","human",25.2276903408805
"263","380036","lh","human",29.0607127444078
"264","380036","rh","human",27.0365740001328
"265","517239","lh","human",29.6857450073069
"266","517239","rh","human",30.1454737720519
"267","522434","lh","human",28.4535019520057
"268","522434","rh","human",26.8343990827578
"269","531536","lh","human",31.5534017801438
"270","531536","rh","human",30.0686766676964
"271","566454","lh","human",28.3597571435534
"272","566454","rh","human",25.2392426380472
"273","585256","lh","human",28.1987060026932
"274","585256","rh","human",27.2289033161941
"275","622236","lh","human",27.8226054388852
"276","622236","rh","human",26.4437262130106
"277","644044","lh","human",27.2737309654291
"278","644044","rh","human",27.5512874826168
"279","679770","lh","human",29.0375608871355
"280","679770","rh","human",29.9073327308452
"281","687163","lh","human",29.0475781311715
"282","687163","rh","human",27.0964732670188
"283","867468","lh","human",26.2592879218621
"284","867468","rh","human",25.4459386073884
"285","910241","lh","human",30.6714290742443
"286","910241","rh","human",29.9227211423868
"287","959574","lh","human",25.4532981463983
"288","959574","rh","human",22.0877081797886
"1","c01","lh","chimpanzee",30.8586657819887
"2","c02","lh","chimpanzee",30.8098347836254
"3","c03","lh","chimpanzee",30.9805489235215
"4","c04","lh","chimpanzee",30.5312780527283
"5","c05","lh","chimpanzee",32.7414369923079
"6","c06","lh","chimpanzee",32.1870280439698
"7","c07","lh","chimpanzee",30.6126725465516
"8","c09","lh","chimpanzee",31.9549101454383
"9","c10","lh","chimpanzee",30.5579818228274
"10","c11","lh","chimpanzee",31.1424105095338
"11","c12","lh","chimpanzee",30.5712701075871
"12","c13","lh","chimpanzee",29.9007531690134
"13","c14","lh","chimpanzee",32.5474519918458
"14","c15","lh","chimpanzee",30.9081123112108
"15","c16","lh","chimpanzee",32.1897399373681
"16","c17","lh","chimpanzee",30.6225659537332
"17","c18","lh","chimpanzee",30.7721439708866
"18","c19","lh","chimpanzee",28.8603341502569
"19","c20","lh","chimpanzee",29.5538700639132
"20","c21","lh","chimpanzee",31.2281347737216
"21","c22","lh","chimpanzee",31.8633321561276
"22","c23","lh","chimpanzee",27.6383729738599
"23","c24","lh","chimpanzee",30.2264258357501
"24","c25","lh","chimpanzee",30.7747592779302
"25","c26","lh","chimpanzee",32.3158513000996
"26","c27","lh","chimpanzee",28.9000260164316
"27","c28","lh","chimpanzee",29.8040533705059
"28","c29","lh","chimpanzee",29.7545555246582
"29","c30","lh","chimpanzee",30.9117505435897
"30","nc02","lh","chimpanzee",32.7521416035599
"31","nc03","lh","chimpanzee",24.1086371155255
"32","nc04","lh","chimpanzee",29.8379011820434
"33","nc05","lh","chimpanzee",30.7532740568233
"34","nc06","lh","chimpanzee",28.9273416514081
"35","nc07","lh","chimpanzee",30.5681522070586
"36","nc08","lh","chimpanzee",33.1753701488405
"37","nc09","lh","chimpanzee",31.1991937997929
"38","nc10","lh","chimpanzee",29.6760669718617
"39","nc11","lh","chimpanzee",32.1980742067506
"40","nc12","lh","chimpanzee",27.7463085049574
"41","nc13","lh","chimpanzee",31.5411355875736
