"","sub","hemi","parietal_sa","cingulate_sa","cortex_sa","species"
"1","100206","lh",26295,4943,104185,"human"
"2","100206","rh",27564,4803,106235,"human"
"3","100307","lh",20226,3385,79510,"human"
"4","100307","rh",20623,2870,78572,"human"
"5","100408","lh",23505,4013,91914,"human"
"6","100408","rh",24677,3824,92579,"human"
"7","100610","lh",23798,3879,93075,"human"
"8","100610","rh",25420,3817,93105,"human"
"9","101006","lh",18296,2804,71736,"human"
"10","101006","rh",19538,4718,73900,"human"
"11","101107","lh",19031,3306,77355,"human"
"12","101107","rh",20447,3280,78952,"human"
"13","180937","lh",27026,4625,103578,"human"
"14","180937","rh",27559,4644,103666,"human"
"15","268749","lh",25795,4080,101830,"human"
"16","268749","rh",28241,4258,103553,"human"
"17","365343","lh",21180,3918,83023,"human"
"18","365343","rh",21790,3183,83014,"human"
"19","531536","lh",25056,4621,100317,"human"
"20","531536","rh",26363,3752,101268,"human"
"21","112920","lh",27172,4440,104306,"human"
"22","112920","rh",28859,4575,104947,"human"
"23","176744","lh",27113,4519,99602,"human"
"24","176744","rh",26608,4425,99282,"human"
"25","151425","lh",22311,4552,88017,"human"
"26","151425","rh",23726,3645,89415,"human"
"27","644044","lh",22375,3885,91265,"human"
"28","644044","rh",22581,3985,90718,"human"
"29","128127","lh",22628,3329,83064,"human"
"30","128127","rh",22729,3553,84606,"human"
"31","146937","lh",18919,3395,76490,"human"
"32","146937","rh",20457,4027,79146,"human"
"33","585256","lh",21333,3682,82692,"human"
"34","585256","rh",22026,3496,83126,"human"
"35","867468","lh",20059,3956,85019,"human"
"36","867468","rh",21130,3933,85468,"human"
"37","380036","lh",25234,3926,95133,"human"
"38","380036","rh",26398,4782,97557,"human"
"39","522434","lh",21852,3489,83006,"human"
"40","522434","rh",23209,3277,85063,"human"
"41","214019","lh",19011,3861,76305,"human"
"42","214019","rh",19266,3623,76201,"human"
"43","185947","lh",22766,3803,90013,"human"
"44","185947","rh",22804,4119,92056,"human"
"45","144125","lh",20259,3760,80000,"human"
"46","144125","rh",20866,3363,81507,"human"
"47","566454","lh",21606,3697,80141,"human"
"48","566454","rh",21607,3130,80538,"human"
"49","151829","lh",18851,3378,74502,"human"
"50","151829","rh",19518,2927,75136,"human"
"51","679770","lh",22614,3951,88914,"human"
"52","679770","rh",23811,3948,89754,"human"
"53","910241","lh",25095,4445,96851,"human"
"54","910241","rh",26481,3548,97793,"human"
"55","107725","lh",20022,3273,80583,"human"
"56","107725","rh",20635,3415,81742,"human"
"57","959574","lh",21757,3905,85480,"human"
"58","959574","rh",22413,5454,87016,"human"
"59","114924","lh",24114,3729,88387,"human"
"60","114924","rh",25491,3477,90349,"human"
"61","109830","lh",17540,3047,71268,"human"
"62","109830","rh",19062,2968,72150,"human"
"63","164939","lh",20732,3523,76225,"human"
"64","164939","rh",19712,3028,76173,"human"
"65","622236","lh",23021,3411,89246,"human"
"66","622236","rh",24003,3531,89675,"human"
"67","133928","lh",20543,4220,86133,"human"
"68","133928","rh",22268,3673,86765,"human"
"69","687163","lh",23492,3960,90486,"human"
"70","687163","rh",24338,3775,91026,"human"
"71","517239","lh",23572,4422,91100,"human"
"72","517239","rh",24039,3925,90708,"human"
"73","101309","lh",21887,3751,91686,"human"
"74","101309","rh",23615,4328,93345,"human"
"75","101410","lh",25964,6579,102725,"human"
"76","101410","rh",29555,4625,102822,"human"
"77","101915","lh",20975,3377,81489,"human"
"78","101915","rh",22101,3728,82171,"human"
"79","102008","lh",23650,3510,93344,"human"
"80","102008","rh",24637,3394,94439,"human"
"81","102311","lh",21463,4170,85062,"human"
"82","102311","rh",22401,3766,85683,"human"
"83","102513","lh",23538,4846,100509,"human"
"84","102513","rh",25022,4494,101069,"human"
"85","102816","lh",19699,3599,79626,"human"
"86","102816","rh",20750,3306,79969,"human"
"87","103111","lh",23947,4241,96045,"human"
"88","103111","rh",25788,3830,96261,"human"
"89","103414","lh",21146,3180,77930,"human"
"90","103414","rh",22708,2721,77644,"human"
"91","103515","lh",20431,4285,80716,"human"
"92","103515","rh",21359,3428,82918,"human"
"93","103818","lh",18420,3067,74139,"human"
"94","103818","rh",18445,3118,75164,"human"
"95","104416","lh",22881,3970,86005,"human"
"96","104416","rh",23528,3358,86384,"human"
"97","104820","lh",19369,3193,72352,"human"
"98","104820","rh",18594,3369,72405,"human"
"99","105014","lh",22088,4024,87216,"human"
"100","105014","rh",22769,4015,86710,"human"
"101","105115","lh",21612,4112,85250,"human"
"102","105115","rh",22541,3620,86315,"human"
"103","105216","lh",26892,5233,104258,"human"
"104","105216","rh",27432,4122,103831,"human"
"105","105620","lh",22509,3723,87913,"human"
"106","105620","rh",23767,4353,90068,"human"
"107","106016","lh",21642,3814,84805,"human"
"108","106016","rh",21875,3278,85062,"human"
"109","106319","lh",23042,4285,87562,"human"
"110","106319","rh",23113,3751,85890,"human"
"111","106521","lh",24573,4348,96305,"human"
"112","106521","rh",25186,4583,99065,"human"
"113","107018","lh",19180,3302,78669,"human"
"114","107018","rh",20011,3286,78552,"human"
"115","107220","lh",21435,5831,89085,"human"
"116","107220","rh",23327,4322,88981,"human"
"117","107321","lh",21213,3643,83799,"human"
"118","107321","rh",22742,3668,85215,"human"
"119","107422","lh",24213,4231,92989,"human"
"120","107422","rh",25918,3829,93141,"human"
"121","108121","lh",17182,2937,66252,"human"
"122","108121","rh",17408,3047,67040,"human"
"123","108222","lh",24729,4383,94612,"human"
"124","108222","rh",24988,3852,96138,"human"
"125","108323","lh",21073,3587,81180,"human"
"126","108323","rh",20536,3473,82161,"human"
"127","108525","lh",20050,3725,78446,"human"
"128","108525","rh",20749,3216,78693,"human"
"129","108828","lh",24284,3903,90203,"human"
"130","108828","rh",25789,3673,90722,"human"
"131","109123","lh",23527,4051,90264,"human"
"132","109123","rh",25085,3779,91537,"human"
"133","109325","lh",22806,4302,92021,"human"
"134","109325","rh",23890,4106,91540,"human"
"135","110007","lh",18724,2987,73956,"human"
"136","110007","rh",19284,3009,75182,"human"
"137","110411","lh",21288,4025,85170,"human"
"138","110411","rh",22987,3486,86575,"human"
"139","110613","lh",26393,4208,95842,"human"
"140","110613","rh",27800,3883,97641,"human"
"141","120111","lh",22454,3995,90611,"human"
"142","120111","rh",23497,3812,92071,"human"
"143","168240","lh",21705,4057,87859,"human"
"144","168240","rh",22117,3941,88421,"human"
"145","c01","lh",20237,3366,78500,"chimpanzee"
"146","c01","rh",20323,2917,77643,"chimpanzee"
"147","c02","lh",20620,3189,77692,"chimpanzee"
"148","c02","rh",20987,3624,77950,"chimpanzee"
"149","c03","lh",22651,3847,79526,"chimpanzee"
"150","c03","rh",22592,3165,77883,"chimpanzee"
"151","c04","lh",20471,3804,76592,"chimpanzee"
"152","c04","rh",21901,3772,77390,"chimpanzee"
"153","c05","lh",22513,4298,83411,"chimpanzee"
"154","c05","rh",22886,3402,81926,"chimpanzee"
"155","c06","lh",19406,3439,76268,"chimpanzee"
"156","c06","rh",19393,3183,75510,"chimpanzee"
"157","c07","lh",22299,3662,81054,"chimpanzee"
"158","c07","rh",22626,3153,82203,"chimpanzee"
"159","c09","lh",24844,3651,87858,"chimpanzee"
"160","c09","rh",25069,3615,88571,"chimpanzee"
