sub,hemi,mcgs_pattern,mcgs_db,mcgs_sb,species
100206,lh,trident,yes,yes,human
100206,rh,single_cih,no,yes,human
100408,lh,single_cih,no,yes,human
100408,rh,trident,yes,yes,human
101006,lh,single,no,no,human
101006,rh,single_cih,no,yes,human
180937,lh,single_cih,no,yes,human
180937,rh,single_cih,no,yes,human
112920,lh,single_cih,no,yes,human
112920,rh,trident,yes,yes,human
176744,lh,trident,yes,yes,human
176744,rh,single,no,no,human
151425,lh,single,no,no,human
151425,rh,single_cih,no,yes,human
128127,lh,trident,yes,yes,human
128127,rh,single,no,no,human
146937,lh,single_cih,no,yes,human
146937,rh,single_cih,no,yes,human
380036,lh,single_cih,no,yes,human
380036,rh,trident,yes,yes,human
185947,lh,trident,yes,yes,human
185947,rh,trident,yes,yes,human
566454,lh,trident,yes,yes,human
566454,rh,single_cih,no,yes,human
151829,lh,single_cih,no,yes,human
151829,rh,Y,yes,no,human
910241,lh,single_cih,no,yes,human
910241,rh,single_cih,no,yes,human
107725,lh,single,no,no,human
107725,rh,single_cih,no,yes,human
109830,lh,single_cih,no,yes,human
109830,rh,single_cih,no,yes,human
622236,lh,single_cih,no,yes,human
622236,rh,single_cih,no,yes,human
517239,lh,Y,yes,no,human
517239,rh,single_cih,no,yes,human
644044,lh,trident,yes,yes,human
644044,rh,trident,yes,yes,human
585256,lh,single_cih,no,yes,human
585256,rh,single_cih,no,yes,human
687163,lh,trident,yes,yes,human
687163,rh,trident,yes,yes,human
214019,lh,single_cih,no,yes,human
214019,rh,trident,yes,yes,human
959574,lh,single_cih,no,yes,human
959574,rh,single_cih,no,yes,human
101107,lh,single_cih,no,yes,human
101107,rh,trident,yes,yes,human
114924,lh,single_cih,no,yes,human
114924,rh,trident,yes,yes,human
100610,lh,single_cih,no,yes,human
100610,rh,trident,yes,yes,human
100307,lh,trident,yes,yes,human
100307,rh,trident,yes,yes,human
365343,lh,trident,yes,yes,human
365343,rh,trident,yes,yes,human
531536,lh,single_cih,no,yes,human
531536,rh,single_cih,no,yes,human
867468,lh,single_cih,no,yes,human
867468,rh,Y,yes,no,human
522434,lh,Y,yes,no,human
522434,rh,trident,yes,yes,human
679770,lh,single_cih,no,yes,human
679770,rh,single_cih,no,yes,human
164939,lh,single_cih,no,yes,human
164939,rh,single,no,no,human
268749,lh,trident,yes,yes,human
268749,rh,trident,yes,yes,human
144125,lh,single_cih,no,yes,human
144125,rh,single_cih,no,yes,human
133928,lh,trident,yes,yes,human
133928,rh,single,no,no,human
101309,lh,single_cih,no,yes,human
101309,rh,single_cih,no,yes,human
101410,lh,single_cih,no,yes,human
101410,rh,single_cih,no,yes,human
101915,lh,Y,yes,no,human
101915,rh,single_cih,no,yes,human
102008,lh,trident,yes,yes,human
102008,rh,single_cih,no,yes,human
102311,lh,single_cih,no,yes,human
102311,rh,single_cih,no,yes,human
102513,lh,single_cih,no,yes,human
102513,rh,single_cih,no,yes,human
102816,lh,trident,yes,yes,human
102816,rh,trident,yes,yes,human
103111,lh,single,no,no,human
103111,rh,single_cih,no,yes,human
103414,lh,trident,yes,yes,human
103414,rh,trident,yes,yes,human
103515,lh,single_cih,no,yes,human
103515,rh,Y,yes,no,human
103818,lh,trident,yes,yes,human
103818,rh,Y,yes,no,human
104416,lh,trident,yes,yes,human
104416,rh,single_cih,no,yes,human
104820,lh,Y,yes,no,human
104820,rh,single_cih,no,yes,human
105014,lh,trident,yes,yes,human
105014,rh,single_cih,no,yes,human
105115,lh,trident,yes,yes,human
105115,rh,trident,yes,yes,human
105216,lh,trident,yes,yes,human
105216,rh,trident,yes,yes,human
105620,lh,single_cih,no,yes,human
105620,rh,trident,yes,yes,human
106016,lh,single,no,no,human
106016,rh,single_cih,no,yes,human
106319,lh,trident,yes,yes,human
106319,rh,trident,yes,yes,human
106521,lh,trident,yes,yes,human
106521,rh,trident,yes,yes,human
107018,lh,single_cih,no,yes,human
107018,rh,trident,yes,yes,human
107220,lh,trident,yes,yes,human
107220,rh,single_cih,no,yes,human
107321,lh,Y,yes,no,human
